Rank,Overall,Conference,Regional,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,DD,Total
147,203,204,204,Goga Bitadze,C,26.1,ORL,70,20.4,3.0,0.612,0.637,0.0,0.100,7.2,6.6,2.0,0.7,1.4,1.0,0.2,-0.81
148,138,137,127,Cason Wallace,SG,21.8,OKC,68,27.6,3.4,0.474,0.815,1.1,0.356,8.4,3.4,2.5,1.8,0.5,0.9,0.0,-0.91
149,111,123,112,Brandin Podziemski,PG/SG,22.5,GS,64,26.8,4.4,0.446,0.764,1.8,0.373,11.7,5.1,3.4,1.1,0.2,1.2,0.0,-0.92
150,260,260,261,Dillon Brooks,SG/SF,29.6,HOU,75,31.8,5.1,0.429,0.810,2.5,0.397,14.0,3.7,1.7,0.8,0.2,1.0,0.0,-0.95
151,194,192,197,Khris Middleton,SF,34.0,WAS,37,22.8,4.3,0.474,0.859,1.3,0.362,11.9,3.7,4.1,0.9,0.2,1.5,0.0,-0.98
152,120,124,120,Keyonte George,PG/SG,21.8,UTA,67,31.5,5.4,0.391,0.819,2.6,0.343,16.8,3.8,5.6,0.7,0.1,2.7,0.1,-1.05
153,144,146,148,Yves Missi,C,21.3,NO,73,26.8,3.7,0.547,0.624,0.0,0.000,9.1,8.2,1.4,0.5,1.3,1.1,0.2,-1.18
154,102,105,72,Jabari Smith Jr.,PF/C,22.3,HOU,57,30.1,4.4,0.438,0.824,1.7,0.354,12.2,7.0,1.1,0.4,0.7,1.1,0.1,-1.20
155,604,604,604,Oscar Tshiebwe,C,25.7,UTA,14,18.2,3.0,0.600,0.742,0.0,0.000,7.6,8.7,0.6,0.9,0.1,0.7,0.3,-1.20
156,130,130,131,Herbert Jones,SF/PF,26.9,NO,20,32.4,3.8,0.436,0.825,1.1,0.306,10.3,3.9,3.3,1.9,0.5,1.8,0.0,-1.20
157,314,312,312,Justin Champagnie,SF,24.1,WAS,62,21.6,3.4,0.513,0.686,1.2,0.383,8.8,5.7,1.0,1.0,0.6,0.9,0.1,-1.20
158,238,239,239,Tre Mann,PG/SG,24.5,CHA,13,24.5,5.4,0.435,0.901,1.9,0.400,14.1,2.9,3.0,0.5,0.3,1.9,0.0,-1.26
159,153,155,157,Ayo Dosunmu,SG,25.6,CHI,46,30.3,4.8,0.492,0.785,1.4,0.328,12.3,3.5,4.5,0.9,0.4,1.5,0.0,-1.27
160,317,315,315,Ochai Agbaji,SG/SF,25.3,TOR,64,27.2,4.2,0.499,0.707,1.6,0.400,10.4,3.8,1.5,0.9,0.5,0.8,0.0,-1.28
161,78,100,66,Ausar Thompson,SF/PF,22.5,DET,59,22.5,4.2,0.535,0.639,0.2,0.229,10.1,5.1,2.3,1.6,0.7,1.4,0.1,-1.29
162,446,446,446,Dru Smith,PG,27.6,MIA,14,19.2,2.2,0.507,0.763,1.1,0.533,6.3,2.6,1.6,1.5,0.4,1.2,0.0,-1.30
163,407,407,407,Mike Conley,PG,37.8,MIN,71,24.7,2.6,0.399,0.898,1.8,0.410,8.2,2.6,4.5,1.1,0.2,1.1,0.0,-1.36
164,268,268,269,Naji Marshall,SF/PF,27.6,DAL,69,27.8,5.3,0.509,0.810,0.9,0.274,13.2,4.8,3.0,1.0,0.2,1.6,0.1,-1.41
165,327,326,327,Luke Kennard,SG,29.1,MEM,65,22.6,3.2,0.478,0.886,1.7,0.433,8.9,2.8,3.3,0.8,0.1,1.1,0.0,-1.42
166,384,384,384,Aaron Wiggins,SG,26.6,OKC,76,22.9,4.7,0.487,0.829,1.7,0.383,12.0,3.9,1.8,0.8,0.2,0.9,0.0,-1.43
167,152,154,156,Jeremy Sochan,PF,22.2,SA,54,25.3,4.7,0.535,0.697,0.5,0.306,11.4,6.5,2.4,0.8,0.5,1.5,0.1,-1.47
168,188,188,188,Gary Trent Jr.,SG,26.6,MIL,74,25.6,3.8,0.430,0.847,2.4,0.415,11.1,2.3,1.2,1.0,0.1,0.6,0.0,-1.54
169,222,223,223,Clint Capela,C,31.2,ATL,55,21.4,4.0,0.559,0.540,0.0,0.000,8.9,8.5,1.1,0.6,0.9,0.9,0.2,-1.57
170,205,206,206,Dennis Schröder,PG,31.9,DET,75,28.1,4.5,0.406,0.837,1.7,0.341,13.1,2.6,5.4,0.9,0.2,1.9,0.1,-1.57
171,320,319,320,Taurean Prince,SF,31.4,MIL,80,27.1,2.9,0.457,0.817,1.8,0.439,8.2,3.6,1.9,1.0,0.2,1.0,0.0,-1.59
172,425,425,425,Killian Hayes,PG,24.1,BKN,6,27.1,3.0,0.418,0.835,1.3,0.380,9.0,3.0,5.2,0.7,0.7,1.5,0.0,-1.64
173,269,269,270,Caris LeVert,SG/SF,31.0,ATL,64,24.9,4.4,0.468,0.711,1.7,0.374,12.1,3.2,3.4,0.9,0.5,1.2,0.0,-1.74
174,225,226,226,Guerschon Yabusele,PF,29.7,PHI,70,27.1,4.0,0.501,0.726,1.5,0.381,11.0,5.6,2.1,0.8,0.3,1.2,0.0,-1.75
175,250,250,251,De'Anthony Melton,PG/SG,27.2,BKN,6,20.2,3.7,0.408,0.624,2.2,0.372,10.3,3.3,2.8,1.2,0.3,1.7,0.2,-1.77
176,227,228,228,Brice Sensabaugh,SF,21.8,UTA,71,20.2,3.9,0.459,0.893,2.2,0.422,10.9,3.0,1.5,0.6,0.1,1.5,0.0,-1.88
177,318,317,318,Jordan Clarkson,SG/SF,33.2,UTA,37,26.0,5.4,0.408,0.798,2.3,0.364,16.2,3.2,3.7,0.8,0.2,2.3,0.0,-1.91
178,170,171,171,Nikola Jovic,PF,22.2,MIA,46,25.1,3.7,0.456,0.831,1.7,0.374,10.7,3.9,2.8,0.8,0.3,1.3,0.0,-1.94
179,105,107,106,Shaedon Sharpe,SG/SF,22.2,POR,72,31.3,6.9,0.452,0.786,2.0,0.311,18.5,4.5,2.8,0.9,0.2,2.1,0.0,-1.95
180,59,65,53,Donovan Clingan,C,21.5,POR,67,19.8,2.7,0.539,0.600,0.2,0.288,6.5,7.9,1.1,0.5,1.6,1.1,0.1,-1.96
